"file"	"Pyr"
"BBM_673_P283_01_VEB_001_R4"	1
"BBM_673_P283_01_VEB_002_R3"	1
"BBM_673_P283_01_VEB_003_R3"	1
"BBM_673_P283_01_VEB_004_R3"	1
"BBM_673_P283_01_VEB_005_R3"	1
"BBM_673_P283_01_VEB_006_R2"	1
"BBM_673_P283_01_VEB_007_R2"	1
"BBM_673_P283_01_VEB_009_R2"	1
"BBM_673_P283_01_VEB_010_R2"	1
"BBM_673_P283_01_VEB_011_R2"	1
"BBM_673_P283_01_VEB_012_R2"	1
"BBM_673_P283_01_VEB_013_R2"	0
"BBM_673_P283_01_VEB_014_R2"	0
"BBM_673_P283_01_VEB_015_R2"	0
"BBM_673_P283_01_VEB_016_R2"	0
"BBM_673_P283_01_VEB_017_R2"	0
"BBM_673_P283_01_VEB_018_R2"	0
"BBM_673_P283_01_VEB_019_R2"	0
"BBM_673_P283_01_VEB_020_R2"	0
"BBM_673_P283_01_VEB_021_R2"	0
"BBM_673_P283_01_VEB_022_R3"	0
"BBM_673_P283_01_VEB_023_R3"	0
"BBM_673_P283_01_VEB_024_R3"	0
